model,method,has_negative,negative_mass
LLaVA-1.5,VASE,True,0.49685361981391907
LLaVA-1.5,VASE,True,0.49514368176460266
LLaVA-1.5,VASE,True,0.45665544271469116
LLaVA-1.5,VASE,True,0.4628082811832428
LLaVA-1.5,VASE,True,0.48859673738479614
LLaVA-1.5,VASE,True,0.49967247247695923
LLaVA-1.5,VASE,True,0.4993366301059723
LLaVA-1.5,VASE,True,0.14363394677639008
LLaVA-1.5,VASE,True,0.49859926104545593
LLaVA-1.5,VASE,True,0.49996957182884216
LLaVA-1.5,VASE,True,0.4794518053531647
LLaVA-1.5,VASE,True,0.49582818150520325
LLaVA-1.5,VASE,True,0.46744537353515625
LLaVA-1.5,VASE,True,0.49906912446022034
LLaVA-1.5,VASE,True,0.3887307047843933
LLaVA-1.5,VASE,True,0.4971444308757782
LLaVA-1.5,VASE,True,0.38038936257362366
LLaVA-1.5,VASE,True,0.4883610010147095
LLaVA-1.5,VASE,True,0.4943620562553406
LLaVA-1.5,VASE,True,0.4883198142051697
LLaVA-1.5,VASE,True,0.49688073992729187
LLaVA-1.5,VASE,True,0.30722469091415405
LLaVA-1.5,VASE,True,0.49033135175704956
LLaVA-1.5,VASE,True,0.49976950883865356
LLaVA-1.5,VASE,True,0.49895772337913513
LLaVA-1.5,VASE,True,0.11394278705120087
LLaVA-1.5,VASE,True,0.3044497072696686
LLaVA-1.5,VASE,True,0.4792073369026184
LLaVA-1.5,VASE,True,0.4893186688423157
LLaVA-1.5,VASE,True,0.4996410608291626
LLaVA-1.5,VASE,True,0.49975335597991943
LLaVA-1.5,VASE,True,0.4990934729576111
LLaVA-1.5,VASE,True,0.47038474678993225
LLaVA-1.5,VASE,True,0.4826582074165344
LLaVA-1.5,VASE,True,0.4929944574832916
LLaVA-1.5,VASE,True,0.4984087646007538
LLaVA-1.5,VASE,True,0.47475099563598633
LLaVA-1.5,VASE,True,0.49998939037323
LLaVA-1.5,VASE,True,0.49999168515205383
LLaVA-1.5,VASE,True,0.4996224343776703
LLaVA-1.5,VASE,True,0.485930472612381
LLaVA-1.5,VASE,True,0.4999842047691345
LLaVA-1.5,VASE,True,0.4999999403953552
LLaVA-1.5,VASE,True,0.4999658465385437
LLaVA-1.5,VASE,False,0.0
LLaVA-1.5,VASE,True,2.2343512682709843e-05
LLaVA-1.5,VASE,True,0.4998786151409149
LLaVA-1.5,VASE,True,0.4994620680809021
LLaVA-1.5,VASE,True,0.49331435561180115
LLaVA-1.5,VASE,True,0.4871503412723541
LLaVA-1.5,VASE,True,0.3278144299983978
LLaVA-1.5,VASE,True,0.5000017285346985
LLaVA-1.5,VASE,True,0.4919958710670471
LLaVA-1.5,VASE,True,0.4945474863052368
LLaVA-1.5,VASE,True,0.49999287724494934
LLaVA-1.5,VASE,True,0.47645947337150574
LLaVA-1.5,VASE,True,0.4985193610191345
LLaVA-1.5,VASE,True,0.4999952018260956
LLaVA-1.5,VASE,True,0.5000008344650269
LLaVA-1.5,VASE,True,0.4721221327781677
LLaVA-1.5,VASE,True,0.491936057806015
LLaVA-1.5,VASE,True,0.45827823877334595
LLaVA-1.5,VASE,True,0.49185436964035034
LLaVA-1.5,VASE,True,0.4984602630138397
LLaVA-1.5,VASE,True,0.49865472316741943
LLaVA-1.5,VASE,True,0.49997103214263916
LLaVA-1.5,VASE,True,0.49999845027923584
LLaVA-1.5,VASE,True,0.49994251132011414
LLaVA-1.5,VASE,True,0.44770145416259766
LLaVA-1.5,VASE,True,0.499999463558197
LLaVA-1.5,VASE,True,0.4860530495643616
LLaVA-1.5,VASE,True,0.4984508752822876
LLaVA-1.5,VASE,True,0.4980456233024597
LLaVA-1.5,VASE,True,0.49996665120124817
LLaVA-1.5,VASE,True,0.4988289475440979
LLaVA-1.5,VASE,True,0.4972193241119385
